Problem,Code Input,Prompt 1 Strategy,Prompt 1,Prompt 2 Strategy,Prompt 2,Completed,Processed
Code Summarization (Java) Summarize the functionality of the following method:,"public Map<String, Integer> countWordFrequency(List<String> words) { Map<String, Integer> freqMap = new HashMap<>(); for (String word : words) { freqMap.put(word, freqMap.getOrDefault(word, 0) + 1); } return freqMap; }",Chain of thought,Summarize the following Java method. Let's think step-by-step. Here's the code: ,Few shot,"Example 1:
Input:
'''public int sumList(List<Integer> nums) {
int sum = 0;
for (int n : nums) {
sum += n;
}
return sum;
}
'''
Output: ""This method returns the sum of all integers in the input list.""
Example 2: Input:
```
public boolean containsNegative(List<Integer> nums) {
for (int n : nums) {
if (n < 0) return true;
}
return false;
}
```
Output:
""This method checks if the input list contains any negative numbers.""
Now, summarize the following Java method. Here's the code:",0,False
Bug Fixing (Python - Off-by-One) Identify and fix the off-by-one error in this function:,"def sum_range(start, end): total=0 for i in range(start, end): total += i return total",Prompt Chaining,"Prompt 1: Identify the off-by-one bug in this Python function. Here's the code: 

Prompt 2: Now, fix the bug in the following function. ",Chain of thought,Fix the off-by-one bug in this Python function. Let's think step-by-step. Here's the code:,0,False
Bug Classification (C++) Classify the type of bug in the following C++ function:,int* getArray(int size) { int arr[size]; return arr; },Few shot,"Example 1:
Input:
void copyArray(int* dest, int* src, int size) {
    for (int i = 0; i <= size; i++) {
        dest[i] = src[i];
    }
}

Bug Type: Off-by-One Error (Buffer Overflow)


Example 2:
Input: 
int calculateSum(int a, int b) {
    int sum;
    return sum;
}
Bug Type: Uninitialized Variable

Now, classify the type of bug in the C++ function. Here's the code: ",Chain of thought,Classify the type of bug in the C++ function. Let's think step-by-step. Here's the code:,0,False
Generating Email Validators (Python + Regex) Complete the function using regex to validate basic email addresses:,def is_valid_email(email): # TODO: Complete using regex pass,Few shot,"Example 1:
Input: ""user@example.com""
Output: valid

Example 2:
Input: ""invalid-email@""
Output: invalid

Example 3:
Input: ""john.doe@company.org""
Output: valid

Example 4:
Input: ""noatsign.com""
Output: invalid

Now complete the Python function using regex to validate basic email addresses. Here's the code: ",Self-consistency,Complete the Python function using regex to validate basic email addresses. Here's the code:,0,False
Generating Flask APIs (Python) Create a '/greet/<username>' endpoint that returns a JSON greeting:,"from flask import Flask, jsonify app = Flask(__name__) @app.route('/greet/<username>') def greet(username): # TODO: Return a JSON greeting pass",Zero shot,Complete the Flask API Python function with an endpoint that returns a JSON greeting. Here's the code: ,Chain of thought,Complete the Flask API Python function with an endpoint that returns a JSON greeting. Let's think step-by-step. Here's the code:,0,False
"SQL Schema Design (SQL) Write the schema for a review app with users, books, and reviews:","-- Tables: users(id, name), books(id, title), reviews(id, user_id, book_id, rating)",Prompt Chaining,"Prompt 1: Design the schema for a review app with users, books, and reviews. Define tables, columns, data types, constraints (e.g., primary/foreign keys), and relationships between entities. Here's the code: -- Tables: users(id, name), books(id, title), reviews(id, user_id, book_id, rating)

Prompt 2: Justify the choice of database model (e.g., relational, NoSQL) for this app based on scalability, query patterns, and data structure.

Prompt 3: Create an Entity-Relationship (ER) model diagramming the connections between users, books, and reviews, including cardinality and participation constraints.

Prompt 4: Apply normalization rules (e.g., 1NF, 2NF, 3NF) to eliminate redundancy. Test the schema with sample data, identify anomalies, and refine the design iteratively.",Chain of thought,"Write the schema for a review app with users, books, and reviews. Let's think step by step. Here's the code:",0,False
Null Dereference Detection (Java) Identify any null dereference risk:,public int getLength(String s) { return s.length(); },Zero shot,Identify any null dereference risk in the Java function. Here's the code:,Self-consistency,Identify any null dereference risk in the Java function. Here's the code:,0,False
CSV Parser Variants (Python) Improve the parser to support quoted fields:,"def parse_csv_line(line): return line.split(',')",Few shot,"Example 1:
Input: 'John,Doe,""123, Elm Street"",Engineer'
Output: ['John', 'Doe', '123, Elm Street', 'Engineer']

Example 2:
Input: '""Jane, A."",Smith,""456 Oak Avenue"",Doctor'
Output: ['Jane, A.', 'Smith', '456 Oak Avenue', 'Doctor']

Example 3:
Input: 'Alice,Brown,""789 Pine St, Apt 4B"",""Data Scientist""'
Output: ['Alice', 'Brown', '789 Pine St, Apt 4B', 'Data Scientist']

Now, improve the Python parser function to handle quoted fields in CSV lines. Quoted fields may contain commas, which should not be split. Here's the code:",Self-consistency,Improve the parser to support quoted fields. Here's the code:,0,False
Data Class to API Conversion (Kotlin) Convert the data class to a REST API using Ktor:,"data class Product(val id: Int, val name: String, val price: Double)",Few shot,"Example 1:
Input:
data class Book(val id: Int, val title: String, val author: String)

Output:
routing {
    route(""/books"") {
        get { call.respond(books) }
        get(""{id}"") { 
            val id = call.parameters[""id""]?.toIntOrNull()
            books.find { it.id == id }?.let { call.respond(it) } ?: call.respond(HttpStatusCode.NotFound)
        }
        post { books.add(call.receive<Book>()); call.respond(HttpStatusCode.Created) }
        put(""{id}"") { 
            val id = call.parameters[""id""]?.toIntOrNull()
            val index = books.indexOfFirst { it.id == id }
            if (index != -1) books[index] = call.receive() else call.respond(HttpStatusCode.NotFound)
        }
        delete(""{id}"") { 
            if (books.removeIf { it.id == call.parameters[""id""]?.toIntOrNull() }) call.respond(HttpStatusCode.NoContent) 
            else call.respond(HttpStatusCode.NotFound)
        }
    }
}

Example 2:
Input:
data class User(val id: Int, val name: String, val email: String)

Output:
routing {
    route(""/users"") {
        get { call.respond(users) }
        get(""{id}"") { 
            users.find { it.id == call.parameters[""id""]?.toIntOrNull() }?.let { call.respond(it) } 
                ?: call.respond(HttpStatusCode.NotFound)
        }
        post { users.add(call.receive<User>()); call.respond(HttpStatusCode.Created) }
        put(""{id}"") { 
            users.indexOfFirst { it.id == call.parameters[""id""]?.toIntOrNull() }.let { index ->
                if (index != -1) users[index] = call.receive() else call.respond(HttpStatusCode.NotFound)
            }
        }
        delete(""{id}"") { 
            if (users.removeIf { it.id == call.parameters[""id""]?.toIntOrNull() }) call.respond(HttpStatusCode.NoContent)
            else call.respond(HttpStatusCode.NotFound)
        }
    }
}

Now, convert the Kotlin data class to a REST API using Ktor with CRUD operations. Here's the code:",Prompt Chaining,"Prompt 1: Given the following Kotlin data class, summarize its fields and their types. Here's the code: 

Prompt 2: Based on the fields and purpose of the data class, list the REST API endpoints required to perform CRUD (Create, Read, Update, Delete) operations. Use the following format: Endpoint: [HTTP Method] [Path] – [Description].

Prompt 3: Using the list of endpoints above, generate Ktor route stubs in Kotlin. Each stub should include the HTTP method, path, and a placeholder for the handler logic.

Prompt 4: For each route stub, implement the handler logic using an in-memory list to store Book objects. Show how to add, retrieve, update, and delete books in this list.

Prompt 5: Combine the data class, in-memory storage, and all route handlers into a complete Ktor application file. Ensure the application is runnable and includes all necessary imports and setup code.",0,False
Function Summarization (Python) Write a brief summary of the function:,"def reverse_words(sentence): return ', '.join(sentence.split()[::-1])",Zero shot,Write a brief summary of the function. Here's the code:,Chain of thought,Write a brief summary of the Python function. Let's think step-by-step. Here's the code:,0,False
