Problem,Prompt Strategy,Prompt,Model 1: OpenAI GPT-4,Model 2: Mistral Large,Model 3: Meta Llama 3.1 405B
Code Summarization (Java) Summarize the functionality of the following method:,chain of thought,"Summarize the following Java method. Let's think step-by-step. Here's the code: public Map<String, Integer> countWordFrequency(List<String> words) { Map<String, Integer> freqMap = new HashMap<>(); for (String word : words) { freqMap.put(word, freqMap.getOrDefault(word, 0) + 1); } return freqMap; }",,,
Code Summarization (Java) Summarize the functionality of the following method:,"few shot ","Example 1:
Input:
'''public int sumList(List<Integer> nums) {
    int sum = 0;
    for (int n : nums) {
        sum += n;
    }
    return sum;
}
'''
Output: 
""This method returns the sum of all integers in the input list.""

Example 2: 
Input:
```
public boolean containsNegative(List<Integer> nums) {
    for (int n : nums) {
        if (n < 0) return true;
    }
    return false;
}
```
Output:
""This method checks if the input list contains any negative numbers.""

Now, summarize the following Java method. Here's the code: public Map<String, Integer> countWordFrequency(List<String> words) { Map<String, Integer> freqMap = new HashMap<>(); for (String word : words) { freqMap.put(word, freqMap.getOrDefault(word, 0) + 1); } return freqMap; }",,,
Bug Fixing (Python - Off-by-One) Identify and fix the off-by-one error in this function:,prompt chaining,"Prompt 1: Identify the off-by-one bug in this Python function. Here's the code:  

Prompt 2: Now, fix the bug in the following function. def sum_range(start, end): total=0 for i in range(start, end): total += i return total",,,
Bug Fixing (Python - Off-by-One) Identify and fix the off-by-one error in this function:,chain of thought,"Fix the off-by-one bug in this Python function. Let's think step-by-step. Here's the code: def sum_range(start, end): total=0 for i in range(start, end): total += i return total",,,
Bug Classification (C++) Classify the type of bug in the following C++ function:,few shot,"Example 1:
Input:
void copyArray(int* dest, int* src, int size) {
    for (int i = 0; i <= size; i++) {
        dest[i] = src[i];
    }
}

Bug Type: Off-by-One Error (Buffer Overflow)


Example 2:
Input: 
int calculateSum(int a, int b) {
    int sum;
    return sum;
}
Bug Type: Uninitialized Variable

Now, classify the type of bug in the C++ function. Here's the code: int* getArray(int size) { int arr[size]; return arr; }",,,
Bug Classification (C++) Classify the type of bug in the following C++ function:,chain of thought,Classify the type of bug in the C++ function. Let's think step-by-step. Here's the code: int* getArray(int size) { int arr[size]; return arr; },,,
Generating Email Validators (Python + Regex) Complete the function using regex to validate basic email addresses:,few shot,"Example 1:
Input: ""user@example.com""
Output: valid

Example 2:
Input: ""invalid-email@""
Output: invalid

Example 3:
Input: ""john.doe@company.org""
Output: valid

Example 4:
Input: ""noatsign.com""
Output: invalid

Now complete the Python function using regex to validate basic email addresses. Here's the code: def is_valid_email(email): # TODO: Complete using regex pass",,,
Generating Email Validators (Python + Regex) Complete the function using regex to validate basic email addresses:,"self-consistency ",Complete the Python function using regex to validate basic email addresses. Here's the code: def is_valid_email(email): # TODO: Complete using regex pass,,,
Generating Flask APIs (Python) Create a '/greet/<username>' endpoint that returns a JSON greeting:,zero shot,"Complete the Flask API Python function with an endpoint that returns a JSON greeting. Here's the code: from flask import Flask, jsonify app = Flask(__name__) @app.route('/greet/<username>') def greet(username): # TODO: Return a JSON greeting pass",,,
Generating Flask APIs (Python) Create a '/greet/<username>' endpoint that returns a JSON greeting:,chain of thought,"Complete the Flask API Python function with an endpoint that returns a JSON greeting. Let's think step-by-step. Here's the code: from flask import Flask, jsonify app = Flask(__name__) @app.route('/greet/<username>') def greet(username): # TODO: Return a JSON greeting pass",,,
